,Crash Type,Collision Type,Crash Severity,Intersection Type,Crash ID,Crash Year
213366,F,7,4.0, ,1602807,2015.0
213371,H,6,4.0,1,1602811,2015.0
213376,6,6,4.0, ,1602815,2015.0
213380,8,9,4.0,1,1602820,2015.0
213383,E,3,4.0,1,1602822,2015.0
213389,8,9,4.0,1,1602843,2015.0
213392,B,6,4.0,1,1602845,2015.0
213399,I,-,4.0,1,1602847,2015.0
213404,B,1,4.0,1,1602848,2015.0
213409,B,1,4.0,1,1602849,2015.0
213415,E,3,4.0, ,1602851,2015.0
213420,E,3,4.0,1,1602855,2015.0
213425,E,3,4.0, ,1602857,2015.0
213433,D,6,4.0,1,1602858,2015.0
213438,8,9,4.0, ,1602860,2015.0
213442,B,1,4.0,1,1602863,2015.0
213447,C,3,4.0, ,1602864,2015.0
213452,A,6,4.0,1,1602866,2015.0
213457,6,6,4.0,1,1602869,2015.0
213461,E,3,4.0, ,1602886,2015.0
213469,6,6,4.0, ,1602888,2015.0
213473,E,3,4.0, ,1602893,2015.0
213480,E,3,4.0,3,1602895,2015.0
213485,8,9,4.0,3,1602897,2015.0
213488,B,6,4.0,4,1602901,2015.0
213494,E,3,4.0,1,1602906,2015.0
213499,B,-,4.0, ,1602908,2015.0
213504,H,6,4.0,1,1602910,2015.0
213510,B,1,4.0,1,1602917,2015.0
213519,B,1,4.0,5,1602920,2015.0
213524,E,3,4.0, ,1602922,2015.0
213529,E,3,4.0,1,1602925,2015.0
213534,B,1,4.0,1,1602926,2015.0
213539,E,3,4.0,1,1602929,2015.0
213544,E,3,4.0, ,1602937,2015.0
213549,E,3,4.0, ,1602942,2015.0
213554,E,3,4.0, ,1602946,2015.0
213562,E,3,4.0,1,1602948,2015.0
213567,6,1,4.0, ,1602956,2015.0
213571,B,1,4.0,1,1602961,2015.0
213577,E,3,4.0, ,1602963,2015.0
213583,D,3,4.0, ,1602965,2015.0
213589,B,1,4.0,1,1602966,2015.0
213595,C,5,4.0, ,1602967,2015.0
213602,3,0,4.0,3,1602968,2015.0
213606,B,1,4.0,1,1602969,2015.0
213611,H,6,4.0, ,1602970,2015.0
213616,E,3,5.0,1,1602972,2015.0
213621,H,6,4.0,3,1602975,2015.0
213626,8,9,4.0,1,1602986,2015.0
213629,8,9,4.0,1,1602989,2015.0
213632,E,3,4.0, ,1602991,2015.0
213639,3,0,4.0, ,1602993,2015.0
213645,E,3,4.0, ,1602996,2015.0
213650,E,3,4.0,1,1602999,2015.0
213655,E,3,4.0,1,1603003,2015.0
213661,H,6,4.0,3,1603004,2015.0
213667,6,6,4.0,1,1603007,2015.0
213671,E,3,4.0, ,1603010,2015.0
213676,C,5,4.0, ,1603015,2015.0
213685,B,1,4.0,1,1603016,2015.0
213692,E,3,4.0,1,1603017,2015.0
213699,E,3,4.0, ,1603018,2015.0
213706,3,0,4.0,1,1603020,2015.0
213710,B,1,4.0,1,1603022,2015.0
213715,E,3,4.0,4,1603023,2015.0
213720,G,2,4.0, ,1603027,2015.0
213725,E,3,4.0, ,1603030,2015.0
213730,6,6,4.0,3,1603039,2015.0
213734,D,6,4.0,1,1603040,2015.0
213739,B,6,4.0,1,1603042,2015.0
213746,B,6,4.0, ,1603045,2015.0
213751,B,6,4.0,3,1603050,2015.0
213756,6,6,4.0,1,1603051,2015.0
